text,label
"Today (Wednesday), the Chief of the General Staff, LTG Herzi Halevi, held a situational assessment at the Northern Command with members of the General Staff Forum, and approved offensive and defensive plans for the northern arena.

Attached are the full remarks of the Chief of the General Staff: ""We are very determined to create the security conditions that will return the residents to their homes, to the communities, with a high level of security, and we are ready to do all that is required to bring about these things. Throughout the war for almost a year, we have been fighting in Gaza with two main goals, as well as others - dismantling Hamas and returning the hostages. We have achieved a lot, and we still have further forward to go.


We still have many capabilities that we have not yet activated. We saw some of these things here, and it seems to me that the readiness is good and we are preparing these plans going forward. The rule is that every time we work on a certain stage, the next two stages are already ready to advance. At each stage, the price for Hezbollah must be high.""
",1
"As part of efforts to alleviate and strengthen the healthcare system and the medical response to the civilian population in Gaza, the facilitation of the passage of 68 sick and injured children together with companions from Gaza was carried out in coordination with officials of the U.S. government, Egypt and the international community. The facilitated passage was carried out via the Kerem Shalom Crossing of the Ministry of Defense’s Land Crossing Authority to Egypt, for the children to travel for further medical treatment in Egypt and abroad.

This activity is part of the many efforts carried out since the beginning of the war, in accordance with the Security Cabinet’s policy and in cooperation with UN agencies, foreign countries and international organizations, to enable and alleviate the operation of medical facilities on a sufficient scale in Gaza. These efforts include the entry of medical equipment in large quantities, with the aim of enabling and assist the establishment of additional field hospitals.

The IDF, via the Coordination of Government Activities in the Territories (COGAT), will continue to act in order to provide a humanitarian response to the residents of Gaza spanning all fields, and especially the medical field and is committed to continue carrying out efforts in cooperation with the international community to promote the existence of mechanisms that will allow patients to receive continued treatment outside Gaza in third world countries.
",1
"The Chief of the General Staff, LTG Herzi Halevi, visited the brigade-level exercise of the 55th Reserve Brigade along the northern border, accompanied by the Commanding Officer of the Northern Command, MG Ori Gordin, the Commanding Officer of the Ground Forces Training Center, BG Kobi Heller, the Commanding Officer of the 55th Brigade, COL Oded Ziman, and additional commanders.

In addition, the Chief of the General Staff visited the 228th Reserve Brigade and held a situational assessment of the sector and a discussion with the brigade commanders.",1
"The terrorist Wissam Abu Ashak was eliminated in an IAF aircraft strike directed by IDF intelligence in southern Gaza. Abu Ashak was involved in weapons smuggling operations for the Hamas terrorist organization. Over the last few years, the terrorist directed smuggling through the Rafah Crossing and underground tunnels. 

Additionally, a launch site containing ready-to-fire rockets in the area of Rafah was struck by the IAF. In addition, the IAF struck dozens of terror targets overnight, including military structures, terrorist cells, underground tunnel shafts, and more. 
",1
"With the intelligence direction of the IDF and ISA, the IAF struck two structures that were being used by Hamas terrorists in Shati and Daraj Tuffah in northern Gaza. The terrorists operated inside school compounds that were used by Hamas as a shield for its terrorist activities.

The terrorist operatives were involved in the planning of numerous terrorist attacks against Israel, and some of the terrorists were involved in holding hostages captive and took part in the October 7th Massacre. 

In preparation for the strike, aerial surveillance checks, precise munitions, and additional intelligence measures were all used in order to mitigate harm to civilians.

The Hamas terrorist organization continuously violates international law by systematically exploiting civilian structures and using the civilian population as human shields for its terror activity against Israel.",1
"A structure in which Hamas terrorists were operating inside the Islamic University in the Sabra area was struck by the IAF, with the assistance of IDF ground troops. The terrorists used the structure to fire anti-tank missiles and to direct and carry out attacks against IDF troops. Before the strike, numerous steps were taken to mitigate the risk of harming civilians, including aerial surveillance checks.

This is another example of the systematic exploitation by Hamas of civilian infrastructure and the population as a human shield for its terrorist activities.

IDF ground troops are continuing intelligence-based, targeted operations in the Rafah area. Over the past day, the troops eliminated several armed terrorists, and IAF aircraft dismantled numerous terrorist infrastructure sites that contained terrorist tunnels identified by the troops.

Following the projectile launches toward communities near Gaza last night, IAF fighter jets struck military structures adjacent to the point from which the launches were fired in Gaza. Additionally, the IAF struck terrorist infrastructure sites, weapons storage facilities, and terrorists in central Gaza.",1
"The Chief of the General Staff, LTG Herzi Halevi, conducted a situational assessment in the Rafah area of Gaza with the Commanding Officer of the Southern Command, MG Yaron Finkelman, the Commanding Officer of the 162nd Division, BG Itzik Cohen, battalion commanders, and additional commanders.

Attached are the full remarks of the Chief of the General Staff:

""We have very high levels of achievements from the combat in Rafah, and I express great appreciation for that. This is reflected in the amount of terrorists that have been eliminated, as well as the infrastructure destroyed, the underground tunnel routes, its mapping, its destruction, and the progress in the complex underground combat. The fact that the 162nd Division now controls the Philadelphi Corridor from the sea to the border between Israel, Gaza, and Egypt, is very significant in cutting off Hamas' supply for future smuggling. We are now dealing with the underground assets. We are clearly approaching the point where we can say we have dismantled the Rafah Brigade, that it is defeated not in the sense that there are no more terrorists, but in the sense that it can no longer function as a fighting unit. It has suffered many casualties, and you will ensure until the completion of the mission here, to eliminate as many terrorists and destroy as much terrorist infrastructure as possible going forward. With great appreciation, what is happening here is very impressive professionally, keep it up.""",1
"Following IDF intelligence, IAF aircraft eliminated the terrorist Muhammad Salah, who was responsible for projects and development in Hamas' Weapons Manufacturing Headquarters. Salah was part of a project to develop strategic weaponry for the Hamas terrorist organization, and he commanded a number of Hamas terrorist squads that worked on developing weapons.
IDF troops are continuing intelligence-based, targeted operations in the Rafah area. During these operations, the troops located large amounts of weapons. In the area of Tel al-Sultan, launchers used to fire at IDF troops during the war were dismantled by IDF troops. In addition, IDF troops eliminated several armed terrorists who posed a threat to them, and the troops dismantled several tunnel shafts in the Rafah area.  

Additionally, IDF troops are continuing their operational activity in central Gaza. The troops identified several terrorists who were operating in the area and eliminated them in a drone strike.

The IAF also struck numerous terrorist targets in Gaza including tunnel shafts, armed terrorist squads, and additional terrorist infrastructure. 
",1
"The soldiers of the 162nd Division continue to conduct precise, intelligence-based operations in the Rafah area, eliminating armed terrorists and destroying terrorist infrastructure.

The 401st Brigade Combat Team conducted a targeted operation on the ‘Abu Said’ Compound, which served as the Hamas Tel al-Sultan Battalion’s training compound in the Rafah area. During the operation, the soldiers located the office of the Commander of the Tel al-Sultan Battalion, Mahmoud Hamdan, as well as weapons storage facilities and a number of tunnel shafts. The tunnel shafts are in the process of being examined and destroyed. At the conclusion of the operation, the IDF operated to dismantle the compound.
In the area of ​​the compound, the soldiers operated inside the office of the Commander of Rocket and Missile Fire in Hamas’ Rafah Brigade, Yasser Nett, who has been responsible for multiple projectiles fired into Israeli territory and against IDF troops.

In parallel to the operations at the ‘Abu Said’ compound, the soldiers operated on a military compound for the training of Hamas terrorist operatives. The soldiers located large quantities of weapons, several tunnel shafts used to carry out attacks against IDF troops, and intelligence documents.",1
"IAF fighter jets directed by IDF and ISA intelligence struck terrorist infrastructure in which Hamas and Islamic Jihad terrorists were operating. The terrorists operated from within buildings that previously served as UNRWA headquarters and which the terrorists used as a shield for their terrorist activities.

Prior to the strike, many precautionary measures were taken to reduce the risk of harming civilians. These included aerial surveillance, the use of precise munitions, and additional intelligence measures. 

This is another example of Hamas' systematic exploitation of civilian infrastructure and the civilian population as a human shield for its terrorist activities.",1
